Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,32,1.0,0,1.0,12793054,1.0,0.0,1,0.0,0,1.0,SAT,0,1.289,
2,1,37,0.51029920578,0,1.0,9936394,0.51029920578,0.0,1,0.0,1,1.51029920578,SAT,0,0.758,
3,2,32,1.0,0,1.0,12793054,1.0,0.0,0,0.0,1,2.51029920578,TIMEOUT,0,1.737,
4,2,37,1.0,0,1.0,9936394,1.0,0.0,0,0.0,1,3.51029920578,TIMEOUT,0,1.737,
5,1,26,1.0,0,1.0,3962560,1.0,0.0,0,0.0,1,4.51029920578,TIMEOUT,0,1.685,
6,3,32,1.0,0,1.0,12793054,1.0,0.0,0,0.0,1,5.51029920578,TIMEOUT,0,1.737,
7,3,26,1.0,0,1.0,3962560,1.0,0.0,0,0.0,1,6.51029920578,TIMEOUT,0,1.662,
8,3,37,1.0,0,1.0,9936394,1.0,0.0,1,0.0,1,7.51029920578,SAT,0,1.637,
9,1,47,1.0,0,1.0,15488441,1.0,0.0,1,0.0,2,8.51029920578,SAT,0,1.612,
10,4,26,1.0,0,1.0,3962560,1.0,0.0,0,0.0,2,9.51029920578,TIMEOUT,0,1.734,
11,4,32,1.0,0,1.0,12793054,1.0,0.0,0,0.0,2,10.51029920578,TIMEOUT,0,1.731,
12,4,37,1.0,0,1.0,9936394,1.0,0.0,0,0.0,2,11.51029920578,TIMEOUT,0,1.734,
13,1,20,1.0,0,1.0,16725982,1.0,0.0,0,0.0,2,12.51029920578,TIMEOUT,0,1.712,
14,5,32,1.0,0,1.0,12793054,1.0,0.0,0,0.0,2,13.51029920578,TIMEOUT,0,1.737,
15,5,20,1.0,0,1.0,16725982,1.0,0.0,0,0.0,2,14.51029920578,TIMEOUT,0,1.708,
16,5,47,0.711210012436,0,1.0,15488441,0.711210012436,0.0,1,0.0,2,15.221509218216001,SAT,0,1.259,
17,5,37,0.510549783707,0,1.0,9936394,0.510549783707,0.0,1,0.0,2,15.732059001923002,SAT,0,1.031,
18,5,26,1.0,0,1.0,3962560,1.0,0.0,0,0.0,2,16.732059001923,TIMEOUT,0,1.733,
