Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,32,1.0,0,1.0,12793054,1.0,0.0,1,0.0,0,1.0,SAT,0,1.487,
2,1,37,0.411463022232,0,1.0,9936394,0.411463022232,0.0,1,0.0,1,1.411463022232,SAT,0,0.657,
3,2,32,1.0,0,1.0,12793054,1.0,0.0,0,0.0,1,2.4114630222319997,TIMEOUT,0,1.658,
4,2,37,1.0,0,1.0,9936394,1.0,0.0,1,0.0,1,3.4114630222319997,SAT,0,1.633,
5,1,26,1.0,0,1.0,3962560,1.0,0.0,0,0.0,1,4.411463022232,TIMEOUT,0,1.736,
6,3,32,1.0,0,1.0,12793054,1.0,0.0,0,0.0,1,5.411463022232,TIMEOUT,0,1.738,
7,3,26,1.0,0,1.0,3962560,1.0,0.0,0,0.0,1,6.411463022232,TIMEOUT,0,1.708,
8,3,37,1.0,0,1.0,9936394,1.0,0.0,1,0.0,1,7.411463022232,SAT,0,1.611,
9,1,47,1.0,0,1.0,15488441,1.0,0.0,1,0.0,2,8.411463022231999,SAT,0,1.637,
10,4,26,1.0,0,1.0,3962560,1.0,0.0,0,0.0,2,9.411463022231999,TIMEOUT,0,1.732,
11,4,32,1.0,0,1.0,12793054,1.0,0.0,0,0.0,2,10.411463022231999,TIMEOUT,0,1.71,
12,4,37,1.0,0,1.0,9936394,1.0,0.0,0,0.0,2,11.411463022231999,TIMEOUT,0,1.734,
13,1,20,1.0,0,1.0,16725982,1.0,0.0,0,0.0,2,12.411463022231999,TIMEOUT,0,1.733,
14,5,32,1.0,0,1.0,12793054,1.0,0.0,0,0.0,2,13.411463022231999,TIMEOUT,0,1.737,
15,5,20,1.0,0,1.0,16725982,1.0,0.0,0,0.0,2,14.411463022231999,TIMEOUT,0,1.732,
16,5,47,0.711874961853,0,1.0,15488441,0.711874961853,0.0,1,0.0,2,15.123337984085,SAT,0,1.281,
17,5,37,0.410794019699,0,1.0,9936394,0.410794019699,0.0,1,0.0,2,15.534132003784,SAT,0,0.982,
18,5,26,1.0,0,1.0,3962560,1.0,0.0,0,0.0,2,16.534132003784002,TIMEOUT,0,1.736,
19,5,8,1.0,0,1.0,13638160,1.0,0.0,0,0.0,3,17.534132003784002,TIMEOUT,0,1.737,
20,6,20,1.0,0,1.0,16725982,1.0,0.0,0,0.0,3,18.534132003784002,TIMEOUT,0,1.737,
21,6,37,0.510129928589,0,1.0,9936394,0.510129928589,0.0,1,0.0,3,19.044261932373,SAT,0,1.083,
22,6,47,0.711884021759,0,1.0,15488441,0.711884021759,0.0,1,0.0,3,19.756145954132002,SAT,0,1.282,
23,5,25,1.0,0,1.0,10760631,1.0,0.0,0,0.0,3,20.756145954132002,TIMEOUT,0,1.732,
24,7,25,1.0,0,1.0,10760631,1.0,0.0,0,0.0,3,21.756145954132002,TIMEOUT,0,1.733,
25,7,20,1.0,0,1.0,16725982,1.0,0.0,0,0.0,3,22.756145954132002,TIMEOUT,0,1.736,
26,7,47,1.0,0,1.0,15488441,1.0,0.0,0,0.0,3,23.756145954132002,TIMEOUT,0,1.736,
27,5,14,1.0,0,1.0,9364247,1.0,0.0,0,0.0,4,24.756145954132002,TIMEOUT,0,1.737,
28,8,8,1.0,0,1.0,13638160,1.0,0.0,0,0.0,4,25.756145954132002,TIMEOUT,0,1.733,
29,8,32,1.0,0,1.0,12793054,1.0,0.0,0,0.0,4,26.756145954132002,TIMEOUT,0,1.732,
30,8,37,1.0,0,1.0,9936394,1.0,0.0,1,0.0,4,27.756145954132002,SAT,0,1.634,
31,5,36,1.0,0,1.0,11997190,1.0,0.0,0,0.0,4,28.756145954132002,TIMEOUT,0,1.736,
32,9,20,1.0,0,1.0,16725982,1.0,0.0,0,0.0,4,29.756145954132002,TIMEOUT,0,1.733,
33,9,14,1.0,0,1.0,9364247,1.0,0.0,0,0.0,4,30.756145954132002,TIMEOUT,0,1.732,
34,9,8,1.0,0,1.0,13638160,1.0,0.0,0,0.0,4,31.756145954132002,TIMEOUT,0,1.735,
35,9,47,1.0,0,1.0,15488441,1.0,0.0,0,0.0,4,32.756145954132,TIMEOUT,0,1.735,
36,9,36,1.0,0,1.0,11997190,1.0,0.0,1,0.0,4,33.756145954132,SAT,0,1.435,
